spec,seed,n_windows,r_selective_score_gyro,r_selective_score_dphi,mean_selective_score_trans,mean_selective_score_non,ratio_selective_score,r_forget_rate_gyro,r_forget_rate_dphi,mean_forget_rate_trans,mean_forget_rate_non,ratio_forget_rate,r_update_budget_gyro,r_update_budget_dphi,mean_update_budget_trans,mean_update_budget_non,ratio_update_budget,r_phase_velocity_gyro,r_phase_velocity_dphi,mean_phase_velocity_trans,mean_phase_velocity_non,ratio_phase_velocity
complex_selective.avgpool.mean,42,1640,-0.19588796157567254,-0.14583635821090174,0.9431241452693939,0.9441391571535802,0.9989249340242954,0.19588766181589407,0.14583610907122468,0.056875861273744166,0.055860843347259125,1.0181704726542558,-0.04222709428529539,-0.009583177003651818,0.055267611709542766,0.055650448352670856,0.9931206907678092,-0.47230456973836676,-0.4032655701392184,0.28560754771416,0.28175577317172523,1.0136706144441172
complex_selective.selective_gyrophase.mean,42,1640,-0.8300272524529267,-0.5990558830103206,0.9223850957858257,0.9408369778289379,0.9803878009921639,0.8300272318509245,0.599055840146724,0.07761490569473842,0.059163022037504884,1.311882034111382,0.7322812744668153,0.5638213109395952,0.10638779869828469,0.0784504335473808,1.3561148598883255,-0.7331667996352417,-0.43940648001984994,0.5626540596668537,0.607313762381959,0.9264635424365414
complex_selective.phase.mean,42,1640,-0.17298461073486315,-0.08954295987119441,0.9371277414835416,0.9427763613253336,0.9940085262279473,0.17298457374669335,0.08954290440115886,0.0628722582776577,0.05722363677863199,1.098711333585407,-0.23556146356287622,-0.135243892420892,0.06836968263945518,0.06277332983424508,1.0891517595129563,-0.5541483621174944,-0.34220424882027983,0.3784017887635109,0.4160566689797156,0.9094957898198225
complex_static.avgpool.mean,42,1640,,,0.9549663066864014,0.9549663066864014,1.0,,,0.045033685863018036,0.045033685863018036,1.0,-0.03577157801659542,0.040084861325118376,0.07096684738420524,0.07793523210712569,0.9105874899642041,,,0.051906585693359375,0.051906585693359375,1.0
complex_selective.gyrophase_rd.mean,42,1640,-0.685919766479305,-0.5958345938251621,0.9286111402205932,0.9350580623452093,0.9931053242742525,0.6859198141063517,0.5958346419148162,0.07138885920628524,0.06494193726365911,1.0992720915677667,0.17713579313056088,0.09548742704590141,0.08424297366768886,0.0800260516210303,1.0526943659125922,-0.4860138499247833,-0.4282711095583649,0.4740433368163231,0.4820429606031669,0.9834047492845158
complex_selective.gyrophase.mean,42,1640,-0.2799521943918792,-0.20904322848243626,0.9257729168121631,0.9321248166539757,0.9931855694341303,0.2799523060413636,0.2090433738189333,0.07422708194607343,0.06787518400427016,1.0935820364244413,-0.029057102944287157,-0.04393626963358893,0.093420854363686,0.08781900842377151,1.063788535539854,-0.6645314426465433,-0.6074277421079443,0.5202539926156019,0.5330299870915969,0.9760313776234141
complex_selective.avgpool.mean,13,1640,-0.6924488498703402,-0.5204898069552316,0.9323239670350001,0.9456789513021975,0.9858778877875968,0.6924489478732677,0.5204899866113332,0.06767603291723973,0.05432104838060432,1.2458528495816712,0.5022861182745768,0.31638126553448664,0.07125564058048603,0.05488932814577859,1.2981692978868449,-0.6757066547519078,-0.6549623560704827,0.38103024203043717,0.3970981944309459,0.9595365765298062
complex_selective.selective_gyrophase.mean,13,1640,-0.02500889356794479,-0.09457597906890083,0.9199216617987707,0.91947984909126,1.0004805028712127,0.02500889752976237,0.0945759595507935,0.08007833514458094,0.08052015061539129,0.9945129825586058,-0.30584859541138104,-0.34067357460698927,0.10492564126467094,0.11452099979496186,0.9162131089715386,-0.6246742774639186,-0.41713475714592574,0.5709104981177893,0.5912820289481464,0.965546845949983
complex_selective.phase.mean,13,1640,-0.8588052222270163,-0.6274155834775076,0.9296683890697284,0.9451752793849965,0.983593635325124,0.8588052069154298,0.6274155269614085,0.07033161470332207,0.05482472100613517,1.2828449176321681,0.8474338912578291,0.6056129896421891,0.08586575807287143,0.0639843328399214,1.341980985996898,-0.8299552519705844,-0.7619008995584525,0.49309803201602054,0.561026193802549,0.8789215859492729
complex_static.avgpool.mean,13,1640,,,0.9534043073654175,0.9534043073654175,1.0,,,0.04659568518400192,0.04659568518400192,1.0,-0.19789127469562554,0.020128088117441024,0.06368043264135337,0.07559690579399944,0.8423682420928933,,,0.04950401186943054,0.04950401186943054,1.0
complex_selective.gyrophase_rd.mean,13,1640,0.32290657687975444,0.3744393711476442,0.9316604542426574,0.9270332497991765,1.0049914115210898,-0.3229066692663544,-0.37443937303152364,0.06833954317829548,0.07296675078513604,0.9365847107476908,-0.22159407918475835,-0.2771227638454,0.08147105956688905,0.08878822425301645,0.9175885682173803,-0.7669339445988356,-0.6517408116333249,0.47214677738837707,0.5029877982508968,0.938684355823805
complex_selective.gyrophase.mean,13,1640,-0.5807799815267243,-0.4930775310055671,0.9195274993395194,0.9265634001980365,0.9924064550175268,0.580779979726541,0.49307756006858805,0.08047250214104469,0.0734365994132168,1.0958092120829004,0.5911061984973563,0.498243206718956,0.1041360990359233,0.09279383348823357,1.1222308112653623,-0.7974732368569029,-0.6685350162661258,0.5425637868734506,0.580687019892905,0.934348053747636
complex_selective.avgpool.mean,73,1640,-0.4272386310732695,-0.3829457393716802,0.9156621205501068,0.9257046331898351,0.989151493597776,0.42723862852777195,0.38294573675120697,0.08433787562908271,0.07429536609468021,1.1351700659446857,0.4299378811716175,0.3790947311633669,0.1135922848032071,0.09875385377618094,1.1502567288225174,-0.7814358647052283,-0.6562865010927219,0.5350465151744012,0.5661205802966629,0.9451105184941729
complex_selective.selective_gyrophase.mean,73,1640,0.4941743408169866,0.6002784668354394,0.9244217047324548,0.9215304629063942,1.003137434889501,-0.4941743801418012,-0.600278504163172,0.07557829201985629,0.07846953750858691,0.9631545491342518,-0.5075559704697544,-0.6416716240095593,0.09871326425136664,0.10286723572889607,0.9596181286675467,-0.615567887816745,-0.41174718174316355,0.5380128988852868,0.5614562169690444,0.9582455098452493
complex_selective.phase.mean,73,1640,-0.8180828790971578,-0.710779748113,0.9303086522297982,0.9463697322352137,0.9830287471604982,0.8180827545863405,0.7107796118589188,0.06969134600307697,0.05363026709461563,1.2994778840113932,0.5628395128234043,0.4911984597896646,0.08822376806384478,0.06815244690318342,1.2945062440556896,-0.830454491994268,-0.6607419701795274,0.4875976550273406,0.5340978206730377,0.9129369867356875
complex_static.avgpool.mean,73,1640,,,0.9532648324966431,0.9532648324966431,1.0,,,0.04673516005277634,0.04673516005277634,1.0,0.27656333141695144,0.33356777566701135,0.07685939289438419,0.07782963647360457,0.9875337516249427,,,0.05029050260782242,0.05029050260782242,1.0
complex_selective.gyrophase_rd.mean,73,1640,-0.561795836907603,-0.49754487340308506,0.9253188157692934,0.9344376485112688,0.9902413684246313,0.5617956033403841,0.4975447452666411,0.07468118957984142,0.06556235027002236,1.1390865225584896,0.06206258605729869,0.04884095697760529,0.09434014816696827,0.08604701576222608,1.0963790821945367,-0.5510160416307678,-0.474681903580711,0.4950277102299226,0.5173175695153113,0.9569126188652888
complex_selective.gyrophase.mean,73,1640,-0.027290615428793737,-0.07287248005567501,0.9418442119390537,0.9406073771884591,1.0013149320115813,0.02729072301648353,0.07287276885804261,0.05815578772662542,0.059392623219367176,0.9791752674709535,-0.2105619652069564,-0.14827608601141654,0.05248551887388413,0.055362147175338446,0.9480397988838168,-0.6340002598431065,-0.6168212910415672,0.21767822328286293,0.23306575414656677,0.9339777269292546
