backbone,head,pool,channels,seed,split_mode,task,params,inference_ms_per_window,train_elapsed_sec,epochs_trained,accuracy,macro_f1,weighted_f1,non_transition_f1,direction_macro_f1,worst_direction_f1,transition_precision,transition_recall,transition_f1,loss
tcn,avgpool,mean,acc_gyro,13,random,direction,222023,0.005377978595788591,6.2590436935424805,26,0.9847560975609756,0.7890496968871824,0.9846076637548167,0.9974375400384369,0.7543183896953066,0.5,0.9375,0.9615384615384616,0.9493670886075949,0.40734280747611346
transformer,avgpool,mean,acc_gyro,13,random,direction,84359,0.00392041325540049,7.7122132778167725,31,0.9780487804878049,0.7569638044934945,0.9789715213139654,0.9938887101962046,0.7174763202097095,0.5,0.8172043010752689,0.9743589743589743,0.8888888888888888,0.5406520564835973
mamba3,avgpool,mean,acc_gyro,13,random,direction,240407,0.01142403190897312,37.52547097206116,35,0.9871951219512195,0.8270165973237332,0.9869395490360277,0.9964754886254406,0.7987734487734487,0.5714285714285714,0.9135802469135802,0.9487179487179487,0.9308176100628931,0.5182561194478739
mamba3,gyrophase_rd,mean,acc_gyro,13,random,direction,240498,0.015313889671233484,21.420461654663086,41,0.9884146341463415,0.8271119705875168,0.9885800828518344,0.9983979493752002,0.7985643074562363,0.6923076923076923,0.9506172839506173,0.9871794871794872,0.9685534591194969,0.40415609319489904
transformer,gyrophase_rd,mean,acc_gyro,13,random,direction,84450,0.0069083425114513375,8.32870626449585,28,0.9798780487804878,0.7825504735157196,0.9814106359942079,0.994535519125683,0.7472196325807255,0.6037735849056604,0.8351648351648352,0.9743589743589743,0.8994082840236687,0.516583805494919
real_static,avgpool,mean,acc_gyro,13,random,direction,26375,0.04826184951525647,73.36476016044617,33,0.9774390243902439,0.7323162993604166,0.9791800803547355,0.9938847763115546,0.6887215532018938,0.5806451612903226,0.8105263157894737,0.9871794871794872,0.8901734104046243,0.46940158983556235
real_selective,avgpool,mean,acc_gyro,13,random,direction,34567,0.04788519217981957,55.70138621330261,25,0.9853658536585366,0.8133846457465946,0.9857216632328512,0.9971126082771896,0.7827633186581621,0.6666666666666666,0.9058823529411765,0.9871794871794872,0.9447852760736196,0.40541659640829736
complex_static,avgpool,mean,acc_gyro,13,random,direction,34695,0.1491522190553951,222.8962688446045,36,0.9762195121951219,0.6928844260811821,0.9764908365580142,0.993900481540931,0.6427150835045573,0.3333333333333333,0.8390804597701149,0.9358974358974359,0.8848484848484849,0.5818282377065682
complex_selective,avgpool,mean,acc_gyro,13,random,direction,51079,0.14846404406853253,105.52293348312378,17,0.9640243902439024,0.6407632742520685,0.9673100196894272,0.9877260981912145,0.5829361369288774,0.36363636363636365,0.6886792452830188,0.9358974358974359,0.7934782608695652,0.6459019198650267
real_selective,gyrophase_rd,mean,acc_gyro,13,random,direction,34679,0.05137633437698241,43.106236696243286,19,0.9829268292682927,0.7726982135463586,0.9832451337062301,0.9974342527261065,0.7352422070164005,0.5806451612903226,0.9166666666666666,0.9871794871794872,0.9506172839506173,0.49667200765958647
complex_selective,phase,mean,acc_gyro,13,random,direction,51100,0.14984968751377892,137.057297706604,22,0.9676829268292683,0.6504030234085523,0.9704234446272104,0.9909851899549259,0.5936393289841565,0.4,0.7604166666666666,0.9358974358974359,0.8390804597701149,0.6744559974205203
complex_selective,gyrophase,mean,acc_gyro,13,random,direction,51163,0.1522622207630775,175.87211322784424,28,0.9585365853658536,0.6414508763522455,0.9647695407382104,0.9834361805781098,0.5844533256479348,0.43478260869565216,0.6097560975609756,0.9615384615384616,0.746268656716418,0.5249079558907486
complex_selective,gyrophase_rd,mean,acc_gyro,13,random,direction,51191,0.15341292095399695,137.97807359695435,22,0.9597560975609756,0.5988553748609226,0.9643192498952621,0.9857605177993527,0.5343711843711844,0.4,0.6517857142857143,0.9358974358974359,0.7684210526315789,0.562071006617895
complex_selective,selective_gyrophase,mean,acc_gyro,13,random,direction,51254,0.15340273686888395,175.14786982536316,28,0.9542682926829268,0.5769356592856199,0.9605402635223431,0.9844256975989617,0.5090206529000629,0.3333333333333333,0.625,0.9615384615384616,0.7575757575757576,0.6767779347373218
tcn,avgpool,mean,acc_gyro,42,random,direction,222023,0.005379886242735665,6.242791652679443,26,0.9774390243902439,0.7619002643208338,0.9789062996205101,0.994535519125683,0.723127721853359,0.5,0.8351648351648352,0.9743589743589743,0.8994082840236687,0.6225324425641902
transformer,avgpool,mean,acc_gyro,42,random,direction,84359,0.00392035064578522,6.002350091934204,24,0.9774390243902439,0.7286132796064789,0.9787550907768835,0.9948553054662379,0.6842396086298526,0.5909090909090909,0.8369565217391305,0.9871794871794872,0.9058823529411765,0.6870648492865901
mamba3,avgpool,mean,acc_gyro,42,random,direction,240407,0.011155812208016869,11.96285891532898,26,0.9829268292682927,0.8093889984948016,0.9834210782359157,0.9948619139370585,0.7784768459210921,0.6511627906976745,0.8522727272727273,0.9615384615384616,0.9036144578313253,0.5395606283041672
mamba3,gyrophase_rd,mean,acc_gyro,42,random,direction,240498,0.015458508278243245,7.699465990066528,15,0.9786585365853658,0.7529546329112475,0.9792527453857288,0.9945390298747189,0.7126905667506692,0.5882352941176471,0.8426966292134831,0.9615384615384616,0.8982035928143712,0.44754929662477677
transformer,gyrophase_rd,mean,acc_gyro,42,random,direction,84450,0.006645058274443727,9.216999292373657,31,0.9817073170731707,0.7729090979953754,0.982054102874549,0.9964732285989099,0.735648409561453,0.6060606060606061,0.9036144578313253,0.9615384615384616,0.9316770186335404,0.8857145979665447
real_static,avgpool,mean,acc_gyro,42,random,direction,26375,0.04776267858687788,67.49487447738647,30,0.9804878048780488,0.7545763833768231,0.980239410058927,0.9958319974350753,0.7143671143671143,0.4444444444444444,0.891566265060241,0.9487179487179487,0.9192546583850931,0.4733776475507312
real_selective,avgpool,mean,acc_gyro,42,random,direction,34567,0.04788728267158149,75.40436553955078,34,0.9835365853658536,0.8156033098266732,0.9840308395644348,0.9955070603337612,0.7856193514088252,0.6666666666666666,0.872093023255814,0.9615384615384616,0.9146341463414634,0.5710342580020973
complex_static,avgpool,mean,acc_gyro,42,random,direction,34695,0.15028066249215044,283.979553937912,46,0.9689024390243902,0.5892517041066537,0.9689180686774427,0.9919536530415192,0.5221347126175094,0.0,0.7789473684210526,0.9487179487179487,0.8554913294797688,0.6594537790592124
complex_selective,avgpool,mean,acc_gyro,42,random,direction,51079,0.1493412401759997,87.4785897731781,14,0.9695121951219512,0.6499448461205993,0.9719206377903946,0.9896973599484868,0.5933194271492849,0.42105263157894735,0.7395833333333334,0.9102564102564102,0.8160919540229885,0.6654987540913792
real_selective,gyrophase_rd,mean,acc_gyro,42,random,direction,34679,0.051035286705882754,85.93556308746338,38,0.9817073170731707,0.7839004259618727,0.9819701125083033,0.9958293230670516,0.7485789431110096,0.5217391304347826,0.8823529411764706,0.9615384615384616,0.9202453987730062,0.536316595199268
complex_selective,phase,mean,acc_gyro,42,random,direction,51100,0.1506589317432372,106.56293201446533,17,0.975609756097561,0.719808600516887,0.9767751049664741,0.9926068788171006,0.6743422208001847,0.6,0.8021978021978022,0.9358974358974359,0.863905325443787,0.5882656788317169
complex_selective,gyrophase,mean,acc_gyro,42,random,direction,51163,0.1520733356301207,162.6961271762848,26,0.974390243902439,0.7473904294724214,0.9766943455296068,0.9912987431517886,0.7067390438591934,0.5925925925925926,0.7575757575757576,0.9615384615384616,0.847457627118644,0.5899660686348996
complex_selective,gyrophase_rd,mean,acc_gyro,42,random,direction,51191,0.15243769325024914,137.96292304992676,22,0.973170731707317,0.7655333943049659,0.976062929033038,0.9903288201160542,0.728067490003118,0.52,0.74,0.9487179487179487,0.8314606741573034,0.5657524238999297
complex_selective,selective_gyrophase,mean,acc_gyro,42,random,direction,51254,0.1532981378113618,182.1554572582245,29,0.9725609756097561,0.7318238199796275,0.9745151542606431,0.9906662375281622,0.6886834170548717,0.5116279069767442,0.7578947368421053,0.9230769230769231,0.8323699421965318,0.5710269783328219
tcn,avgpool,mean,acc_gyro,73,random,direction,222023,0.00537970623554429,5.162843704223633,22,0.9859756097560975,0.8027829386368317,0.986290314294257,0.9983979493752002,0.7701804368471036,0.6666666666666666,0.9506172839506173,0.9871794871794872,0.9685534591194969,0.3995370457085167
transformer,avgpool,mean,acc_gyro,73,random,direction,84359,0.003929982194676995,8.459517478942871,34,0.975609756097561,0.7211261979477731,0.9774796294862148,0.9925973607981976,0.6758810041393691,0.6153846153846154,0.7894736842105263,0.9615384615384616,0.8670520231213873,0.7187514814661771
mamba3,avgpool,mean,acc_gyro,73,random,direction,240407,0.011223422989132814,13.639479637145996,28,0.9792682926829268,0.7323525535765475,0.9803068724352096,0.9951814969482814,0.6885477296812587,0.6382978723404256,0.8539325842696629,0.9743589743589743,0.9101796407185628,0.5764791622099171
mamba3,gyrophase_rd,mean,acc_gyro,73,random,direction,240498,0.01529614437458804,11.458696842193604,22,0.9853658536585366,0.8041649456912935,0.9855811864846458,0.9964754886254406,0.7721131885356023,0.7142857142857143,0.9135802469135802,0.9487179487179487,0.9308176100628931,0.6311282736499135
transformer,gyrophase_rd,mean,acc_gyro,73,random,direction,84450,0.0066342406353214756,10.432889461517334,36,0.9804878048780488,0.7164072509219762,0.9807173819515329,0.9958319974350753,0.66983645983646,0.56,0.891566265060241,0.9487179487179487,0.9192546583850931,0.96231933810362
real_static,avgpool,mean,acc_gyro,73,random,direction,26375,0.04797135890839854,66.79893565177917,30,0.9804878048780488,0.6987128466653293,0.9805331828859091,0.9961587708066582,0.6491385259751076,0.5,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.7027849817239656
real_selective,avgpool,mean,acc_gyro,73,random,direction,34567,0.04776470344950212,71.14273643493652,32,0.9817073170731707,0.7421146638232032,0.9825348463252989,0.9964709656721207,0.6997219468483836,0.5925925925925926,0.8941176470588236,0.9743589743589743,0.9325153374233128,0.810625736642538
complex_static,avgpool,mean,acc_gyro,73,random,direction,34695,0.15145054952881765,247.11079621315002,40,0.9621951219512195,0.6393453674768709,0.968153954931308,0.9867270961476206,0.5814484126984126,0.34285714285714286,0.6637168141592921,0.9615384615384616,0.7853403141361257,0.6306953377113109
complex_selective,avgpool,mean,acc_gyro,73,random,direction,51079,0.14931915389752248,173.74241948127747,28,0.9670731707317073,0.6849078846823122,0.9705524894797148,0.9883795997417689,0.6343292655057361,0.5,0.7019230769230769,0.9358974358974359,0.8021978021978022,0.675980682780103
real_selective,gyrophase_rd,mean,acc_gyro,73,random,direction,34679,0.05135851406521397,39.19512987136841,17,0.973170731707317,0.6540355851717415,0.9748657449343242,0.9938847763115546,0.597394053315106,0.42105263157894735,0.8105263157894737,0.9871794871794872,0.8901734104046243,0.6064554178133243
complex_selective,phase,mean,acc_gyro,73,random,direction,51100,0.1510235867317533,149.46090841293335,24,0.973780487804878,0.6641663705209774,0.9747666817170513,0.9919743178170144,0.6095317126383045,0.5,0.8045977011494253,0.8974358974358975,0.8484848484848485,0.7565887318878639
complex_selective,gyrophase,mean,acc_gyro,73,random,direction,51163,0.15289998566004215,75.78547978401184,12,0.947560975609756,0.5924135395640978,0.9593665237619448,0.9811320754716981,0.5276271169128312,0.21621621621621623,0.578125,0.9487179487179487,0.7184466019417476,0.843366853493016
complex_selective,gyrophase_rd,mean,acc_gyro,73,random,direction,51191,0.1531741470171255,162.46668362617493,26,0.9597560975609756,0.6619391229685349,0.9660032935938604,0.9831168831168832,0.6084094962771434,0.4375,0.6065573770491803,0.9487179487179487,0.74,0.5378071734091131
complex_selective,selective_gyrophase,mean,acc_gyro,73,random,direction,51254,0.15375495779153425,150.5534062385559,24,0.9682926829268292,0.652374802669774,0.970568707216077,0.9906481780070945,0.5959959067802205,0.4,0.7425742574257426,0.9615384615384616,0.8379888268156425,0.6646314827407279
