model,channels,params,inference_ms_per_window,checkpoint_path,accuracy,macro_f1,transition_precision,transition_recall,transition_f1,loss,train_size,val_size,test_size,best_val_accuracy,best_val_macro_f1,best_val_transition_precision,best_val_transition_recall,best_val_transition_f1,best_val_loss
cnn,acc,75906,0.0017334810763713904,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/cnn_acc/best.pt,0.9902439024390244,0.9480515366767237,0.8690476190476191,0.9358974358974359,0.9012345679012346,0.0773234177835104,7650,1639,1640,0.9932885906040269,0.9640739921528305,0.8928571428571429,0.974025974025974,0.9316770186335404,0.039726266515844114
cnn,gyro,75906,0.0017345609376206994,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/cnn_gyro/best.pt,0.9951219512195122,0.9734023143230159,0.9375,0.9615384615384616,0.9493670886075949,0.06816680300980807,7650,1639,1640,0.9945088468578401,0.9698957340555147,0.925,0.961038961038961,0.9426751592356688,0.06758079189145762
cnn,acc_gyro,76866,0.0018376781372353435,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/cnn_acc_gyro/best.pt,0.9957317073170732,0.976865985946288,0.9382716049382716,0.9743589743589743,0.9559748427672956,0.04617404215514841,7650,1639,1640,0.9975594874923734,0.98637278214743,0.974025974025974,0.974025974025974,0.974025974025974,0.050651254479007944
gru,acc,38466,0.002500078444427345,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/gru_acc/best.pt,0.9957317073170732,0.9762993548387097,0.961038961038961,0.9487179487179487,0.9548387096774194,0.10895162492354468,7650,1639,1640,0.9920683343502136,0.9537062988721519,0.9571428571428572,0.8701298701298701,0.9115646258503401,0.15156079400523978
gru,gyro,38466,0.0024999454763019457,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/gru_gyro/best.pt,0.9914634146341463,0.9528874880987557,0.9102564102564102,0.9102564102564102,0.9102564102564102,0.23364082538954367,7650,1639,1640,0.9932885906040269,0.9627550019109004,0.9230769230769231,0.935064935064935,0.9290322580645162,0.1214578952310724
gru,acc_gyro,39042,0.002468840939400252,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/gru_acc_gyro/best.pt,0.9951219512195122,0.9734023143230159,0.9375,0.9615384615384616,0.9493670886075949,0.0926141368450949,7650,1639,1640,0.99633923123856,0.9790409207161126,0.9863013698630136,0.935064935064935,0.96,0.270242413013828
tcn,acc,220610,0.005758912811870687,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/tcn_acc/best.pt,0.9963414634146341,0.9795597876212079,0.9736842105263158,0.9487179487179487,0.961038961038961,0.09571869203525528,7650,1639,1640,1.0,1.0,1.0,1.0,1.0,0.009055147951558606
tcn,gyro,220610,0.00575965314055793,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/tcn_gyro/best.pt,0.9957317073170732,0.9760048993480774,0.9733333333333334,0.9358974358974359,0.954248366013072,0.08208625767857018,7650,1639,1640,0.9957291031116534,0.9753914988814317,0.9861111111111112,0.922077922077922,0.9530201342281879,0.09803175012841867
tcn,acc_gyro,221378,0.005825265470775776,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/tcn_acc_gyro/best.pt,0.9963414634146341,0.980051735742262,0.95,0.9743589743589743,0.9620253164556962,0.04378732463299501,7650,1639,1640,0.9975594874923734,0.98637278214743,0.974025974025974,0.974025974025974,0.974025974025974,0.03286979730906393
transformer,acc,83842,0.0037304654688341543,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/transformer_acc/best.pt,0.9963414634146341,0.9795597876212079,0.9736842105263158,0.9487179487179487,0.961038961038961,0.12789256018870396,7650,1639,1640,0.9981696156192801,0.9895865321690807,1.0,0.961038961038961,0.9801324503311258,0.10181706920584357
transformer,gyro,83842,0.0037454724952112883,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/transformer_gyro/best.pt,0.9932926829268293,0.960829528108722,0.9855072463768116,0.8717948717948718,0.9251700680272109,0.40250419723652603,7650,1639,1640,0.9957291031116534,0.9750726224696202,1.0,0.9090909090909091,0.9523809523809523,0.3745521406902772
transformer,acc_gyro,84034,0.0039045815719873644,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/transformer_acc_gyro/best.pt,0.9969512195121951,0.9830709677419355,0.974025974025974,0.9615384615384616,0.967741935483871,0.09295646628654539,7650,1639,1640,0.9951189749847468,0.9720545609548167,0.9726027397260274,0.922077922077922,0.9466666666666667,0.1317522628999942
mamba3,acc,239378,0.012161792183178477,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/mamba3_acc/best.pt,0.9945121951219512,0.9687605163404087,0.9726027397260274,0.9102564102564102,0.9403973509933775,0.17666463364460847,7650,1639,1640,0.9932885906040269,0.9608284067379746,0.9714285714285714,0.8831168831168831,0.9251700680272109,0.3032680442141934
mamba3,gyro,239378,0.01202022500365274,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/mamba3_gyro/best.pt,0.9951219512195122,0.9730785646278604,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.15974584427902122,7650,1639,1640,0.9957291031116534,0.9750726224696202,1.0,0.9090909090909091,0.9523809523809523,0.1802645524670532
mamba3,acc_gyro,239762,0.012124507957196329,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/mamba3_acc_gyro/best.pt,0.9969512195121951,0.9828606423914839,0.9866666666666667,0.9487179487179487,0.9673202614379085,0.09343863945701386,7650,1639,1640,0.9957291031116534,0.976004183006536,0.9605263157894737,0.948051948051948,0.954248366013072,0.10377424720065614
